supplier,region,weather,shipment_mode,product_category,distance_km,supplier_reliability,lead_time_days,order_volume,inventory_level,route_risk,traffic_index,disrupted
Supplier_A,West,Flood,Rail,Automotive,1070.0,0.646,5.3,218.0,452.0,0.026,0.534,1
Supplier_D,West,Rain,Road,Textile,759.0,0.976,7.6,483.0,742.0,0.363,0.495,0
Supplier_D,Central,Clear,Rail,Electronics,355.0,0.859,7.9,500.0,303.0,0.563,0.57,0
Supplier_C,Central,Storm,Road,Pharma,186.0,0.61,,433.0,713.0,0.491,0.588,1
Supplier_C,West,Clear,Road,Electronics,697.0,0.701,2.7,279.0,438.0,0.648,0.703,0
Supplier_E,South,Storm,Rail,Food,535.0,0.698,3.6,393.0,181.0,0.215,0.702,1
Supplier_A,East,Rain,Air,Food,178.0,0.804,9.4,249.0,631.0,0.52,0.614,0
Supplier_D,East,Clear,Sea,Electronics,661.0,0.749,9.8,566.0,807.0,0.129,0.832,1
Supplier_B,West,Clear,Air,Automotive,480.0,0.608,5.4,523.0,411.0,0.492,0.506,0
Supplier_A,Central,Storm,Sea,Electronics,688.0,0.571,6.8,416.0,844.0,0.679,0.365,1
Supplier_C,South,Clear,Air,Automotive,665.0,0.862,9.6,318.0,136.0,0.45,0.401,0
Supplier_E,East,Flood,Air,Automotive,392.0,0.823,,799.0,237.0,0.682,0.477,1
Supplier_D,North,Storm,Road,Textile,715.0,0.796,4.7,186.0,468.0,0.23,0.262,0
Supplier_D,West,Rain,Rail,Electronics,421.0,0.821,12.1,142.0,418.0,0.323,0.365,0
Supplier_D,East,Clear,Road,Textile,437.0,0.687,6.9,405.0,353.0,0.167,0.249,0
Supplier_D,East,Storm,Road,Food,412.0,0.808,2.6,374.0,529.0,0.357,0.576,0
Supplier_C,East,Heatwave,Road,Textile,844.0,1.0,6.4,618.0,384.0,0.404,0.578,0
Supplier_A,South,Clear,Sea,Automotive,477.0,0.956,9.1,536.0,421.0,0.355,0.111,0
Supplier_E,East,Clear,Air,Automotive,907.0,0.737,1.0,425.0,561.0,0.255,0.356,0
Supplier_C,West,Clear,Sea,Electronics,1014.0,0.701,6.5,510.0,353.0,0.252,0.902,0
Supplier_C,South,Clear,Sea,Automotive,358.0,0.351,4.9,507.0,477.0,0.419,0.639,1
Supplier_B,North,Storm,Sea,Food,50.0,0.94,1.1,799.0,358.0,0.318,0.6,1
Supplier_A,South,Clear,Road,Textile,822.0,0.898,6.2,466.0,235.0,0.12,0.354,0
Supplier_E,North,Rain,Sea,Automotive,461.0,0.698,5.6,297.0,668.0,0.01,0.563,1
Supplier_D,South,Clear,Sea,Electronics,325.0,0.565,5.9,456.0,876.0,0.231,0.497,0
Supplier_D,West,Clear,Sea,Textile,397.0,0.607,5.0,20.0,734.0,0.074,0.325,0
Supplier_C,North,Clear,Road,Electronics,442.0,0.847,2.9,414.0,573.0,0.183,0.391,0
Supplier_E,West,Flood,Road,Pharma,887.0,0.767,1.6,617.0,359.0,0.265,0.396,1
Supplier_C,South,Rain,Sea,Pharma,592.0,0.884,3.9,528.0,437.0,0.321,0.172,1
Supplier_C,Central,Clear,Road,Textile,884.0,0.793,8.6,474.0,733.0,0.217,0.209,0
Supplier_C,West,Storm,Road,Electronics,678.0,0.925,6.7,537.0,20.0,0.788,0.456,1
Supplier_B,South,Clear,Rail,Textile,470.0,0.835,5.8,619.0,420.0,0.098,0.313,0
Supplier_A,East,Clear,Road,Pharma,449.0,0.904,2.9,677.0,662.0,0.592,0.434,0
Supplier_C,North,Clear,Road,Automotive,696.0,0.467,4.9,501.0,250.0,0.317,0.147,0
Supplier_E,North,Heatwave,Sea,Electronics,763.0,0.595,8.2,363.0,593.0,0.218,0.676,1
Supplier_A,Central,Storm,Sea,Pharma,809.0,0.725,7.5,20.0,583.0,0.468,0.958,1
Supplier_E,Central,Rain,Sea,Automotive,482.0,0.942,4.6,596.0,180.0,0.259,0.726,0
Supplier_E,North,Clear,Road,Automotive,596.0,1.0,1.0,513.0,519.0,0.189,0.749,0
Supplier_B,South,Clear,Road,Textile,702.0,0.755,4.0,447.0,364.0,0.708,0.638,0
Supplier_D,North,Rain,Road,Textile,450.0,0.688,4.6,296.0,592.0,0.01,0.558,0
Supplier_A,South,Clear,Rail,Food,255.0,0.487,3.3,594.0,647.0,0.301,0.519,0
